product;lot;zone;deliveryDriverName;deliveryDriverId;dematerializationCost;range_0_20;range_21_50;range_51_100;range_101_250;range_251_350;range_351_1000;range_1001_2000
890;17;AM;Poste ;20230717##POSTE;0,1283;7,24;8,11;8,11;8,78;8,78;9,65;9,65
890;18;AM;RTI Sailpost-Snem;20230717##SAILPOST;0,15066;7,50027;8,30186;8,30186;8,99893;8,99893;9,90503;9,90503
890;19;AM;Poste ;20230717##POSTE;0,1283;7,24;8,11;8,11;8,78;8,78;9,65;9,65
890;20;AM;RTI Sailpost-Snem;20230717##SAILPOST;0,15066;7,50027;8,30186;8,30186;8,99893;8,99893;9,90503;9,90503
890;1;CP;Poste ;20230717##POSTE;0,1283;7,89;8,83;8,83;9,56;9,56;10,51;10,51
890;2;CP;Poste ;20230717##POSTE;0,1283;7,7;8,62;8,62;9,33;9,33;10,27;10,27
890;3;CP;RTI Sailpost-Snem;20230717##SAILPOST;0,15066;7,50027;8,30186;8,30186;8,99893;8,99893;9,90503;9,90503
890;4;CP;RTI Sailpost-Snem;20230717##SAILPOST;0,15066;7,50027;8,30186;8,30186;8,99893;8,99893;9,90503;9,90503
890;5;CP;Poste ;20230717##POSTE;0,1283;7,89;8,83;8,83;9,56;9,56;10,51;10,51
890;6;CP;RTI Sailpost-Snem;20230717##SAILPOST;0,15066;7,50027;8,30186;8,30186;8,99893;8,99893;9,90503;9,90503
890;7;CP;Poste ;20230717##POSTE;0,1283;7,7;8,62;8,62;9,33;9,33;10,27;10,27
890;8;CP;RTI Sailpost-Snem;20230717##SAILPOST;0,15066;7,50027;8,30186;8,30186;8,99893;8,99893;9,90503;9,90503
890;9;CP;Poste ;20230717##POSTE;0,1283;7,7;8,62;8,62;9,33;9,33;10,27;10,27
890;10;CP;Poste ;20230717##POSTE;0,1283;8,43;9,44;9,44;10,22;10,22;11,24;11,24
890;11;CP;Poste ;20230717##POSTE;0,1283;7,7;8,62;8,62;9,33;9,33;10,27;10,27
890;12;CP;RTI Sailpost-Snem;20230717##SAILPOST;0,15066;7,50027;8,30186;8,30186;8,99893;8,99893;9,90503;9,90503
890;13;CP;POST & SERVICE;20230717##POSE;0,119647;7,5;8,83531;8,83531;9,57715;9,57715;10,54154;10,54154
890;14;CP;POST & SERVICE;20230717##POSE;0,119647;7,5;8,83531;8,83531;9,57715;9,57715;10,54154;10,54154
890;15;CP;Poste ;20230717##POSTE;0,1283;7,24;8,11;8,11;8,78;8,78;9,65;9,65
890;16;CP;Poste ;20230717##POSTE;0,1283;7,24;8,11;8,11;8,78;8,78;9,65;9,65
890;17;CP;Poste ;20230717##POSTE;0,1283;7,24;8,11;8,11;8,78;8,78;9,65;9,65
890;18;CP;RTI Sailpost-Snem;20230717##SAILPOST;0,15066;7,50027;8,30186;8,30186;8,99893;8,99893;9,90503;9,90503
890;19;CP;Poste ;20230717##POSTE;0,1283;7,24;8,11;8,11;8,78;8,78;9,65;9,65
890;20;CP;RTI Sailpost-Snem;20230717##SAILPOST;0,15066;7,50027;8,30186;8,30186;8,99893;8,99893;9,90503;9,90503
890;1;EU;Poste ;20230717##POSTE;0,1283;7,89;8,83;8,83;9,56;9,56;10,51;10,51
890;2;EU;Poste ;20230717##POSTE;0,1283;7,7;8,62;8,62;9,33;9,33;10,27;10,27
890;3;EU;RTI Sailpost-Snem;20230717##SAILPOST;0,15066;7,50027;8,30186;8,30186;8,99893;8,99893;9,90503;9,90503
890;4;EU;RTI Sailpost-Snem;20230717##SAILPOST;0,15066;7,50027;8,30186;8,30186;8,99893;8,99893;9,90503;9,90503
890;5;EU;Poste ;20230717##POSTE;0,1283;7,89;8,83;8,83;9,56;9,56;10,51;10,51
890;6;EU;RTI Sailpost-Snem;20230717##SAILPOST;0,15066;7,50027;8,30186;8,30186;8,99893;8,99893;9,90503;9,90503
890;7;EU;Poste ;20230717##POSTE;0,1283;7,7;8,62;8,62;9,33;9,33;10,27;10,27
890;8;EU;RTI Sailpost-Snem;20230717##SAILPOST;0,15066;7,50027;8,30186;8,30186;8,99893;8,99893;9,90503;9,90503
890;9;EU;Poste ;20230717##POSTE;0,1283;7,7;8,62;8,62;9,33;9,33;10,27;10,27
890;10;EU;Poste ;20230717##POSTE;0,1283;8,43;9,44;9,44;10,22;10,22;11,24;11,24
890;11;EU;Poste ;20230717##POSTE;0,1283;7,7;8,62;8,62;9,33;9,33;10,27;10,27
890;12;EU;RTI Sailpost-Snem;20230717##SAILPOST;0,15066;7,50027;8,30186;8,30186;8,99893;8,99893;9,90503;9,90503
890;13;EU;POST & SERVICE;20230717##POSE;0,119647;7,5;8,83531;8,83531;9,57715;9,57715;10,54154;10,54154
890;14;EU;POST & SERVICE;20230717##POSE;0,119647;7,5;8,83531;8,83531;9,57715;9,57715;10,54154;10,54154
890;15;EU;Poste ;20230717##POSTE;0,1283;7,24;8,11;8,11;8,78;8,78;9,65;9,65
890;16;EU;Poste ;20230717##POSTE;0,1283;7,24;8,11;8,11;8,78;8,78;9,65;9,65
890;17;EU;Poste ;20230717##POSTE;0,1283;7,24;8,11;8,11;8,78;8,78;9,65;9,65
890;18;EU;RTI Sailpost-Snem;20230717##SAILPOST;0,15066;7,50027;8,30186;8,30186;8,99893;8,99893;9,90503;9,90503
890;19;EU;Poste ;20230717##POSTE;0,1283;7,24;8,11;8,11;8,78;8,78;9,65;9,65
890;20;EU;RTI Sailpost-Snem;20230717##SAILPOST;0,15066;7,50027;8,30186;8,30186;8,99893;8,99893;9,90503;9,90503
RS;21;AM;Poste ;20230717##POSTE;0,02252;2,02;2,39;2,75;3,14;3,45;4,16;4,99
RS;21;CP;Poste ;20230717##POSTE;0,02252;2,29;2,66;3,01;3,41;3,76;4,43;5,28
RS;21;EU;Poste ;20230717##POSTE;0,02252;2,9;3,46;3,81;4,21;4,52;5,22;6,06
RS;22;AM;RTI Fulmine - Sol. Camp.;20230717##FULMINECAMPANIA;0,02772;1,51;1,86452;2,14026;2,44882;2,69174;3,24321;3,89317
RS;22;CP;RTI Fulmine - Sol. Camp.;20230717##FULMINECAMPANIA;0,02772;1,7;2,05962;2,33423;2,64154;2,91615;3,43269;4,08653
RS;22;EU;RTI Fulmine - Sol. Camp.;20230717##FULMINECAMPANIA;0,02772;2,16;2,68364;2,95854;3,26618;3,50836;4,05818;4,70618
RS;23;AM;Poste ;20230717##POSTE;0,02252;2,02;2,39;2,75;3,14;3,45;4,16;4,99
RS;23;CP;Poste ;20230717##POSTE;0,02252;2,29;2,66;3,01;3,41;3,76;4,43;5,28
RS;23;EU;Poste ;20230717##POSTE;0,02252;2,9;3,46;3,81;4,21;4,52;5,22;6,06
RS;24;AM;Poste ;20230717##POSTE;0,02252;2,02;2,39;2,75;3,14;3,45;4,16;4,99
RS;24;CP;Poste ;20230717##POSTE;0,02252;2,29;2,66;3,01;3,41;3,76;4,43;5,28
RS;24;EU;Poste ;20230717##POSTE;0,02252;2,9;3,46;3,81;4,21;4,52;5,22;6,06
RS;25;AM;RTI Fulmine - Forgilu;20230717##FULMINEFORGILU;0,02772;1,51;1,86452;2,14026;2,44882;2,69174;3,24321;3,89317
RS;25;CP;RTI Fulmine - Forgilu;20230717##FULMINEFORGILU;0,02772;1,7;2,05962;2,33423;2,64154;2,91615;3,43269;4,08653
RS;25;EU;RTI Fulmine - Forgilu;20230717##FULMINEFORGILU;0,02772;2,16;2,68364;2,95854;3,26618;3,50836;4,05818;4,70618
AR;26;AM;Poste ;20230717##POSTE;0,0678;3,11;3,48;3,84;4,23;4,54;5,25;6,09
AR;26;CP;Poste ;20230717##POSTE;0,0678;3,38;3,75;4,1;4,5;4,85;5,52;6,37
AR;26;EU;Poste ;20230717##POSTE;0,0678;3,99;4,55;4,9;5,3;5,61;6,31;7,15
AR;27;AM;RTI Fulmine - Sol. Camp.;20230717##FULMINECAMPANIA;0,083903;2,37004;2,72448;3,00015;3,30865;3,55151;4,10285;4,75266
AR;27;CP;RTI Fulmine - Sol. Camp.;20230717##FULMINECAMPANIA;0,083903;2,56;2,91981;3,19458;3,50206;3,77682;4,29364;4,94785
AR;27;EU;RTI Fulmine - Sol. Camp.;20230717##FULMINECAMPANIA;0,083903;3,02;3,54379;3,81877;4,12649;4,36874;4,91872;5,5669
AR;28;AM;Poste ;20230717##POSTE;0,0678;3,11;3,48;3,84;4,23;4,54;5,25;6,09
AR;28;CP;Poste ;20230717##POSTE;0,0678;3,38;3,75;4,1;4,5;4,85;5,52;6,37
AR;28;EU;Poste ;20230717##POSTE;0,0678;3,99;4,55;4,9;5,3;5,61;6,31;7,15
AR;29;AM;Poste ;20230717##POSTE;0,0678;3,11;3,48;3,84;4,23;4,54;5,25;6,09
AR;29;CP;Poste ;20230717##POSTE;0,0678;3,38;3,75;4,1;4,5;4,85;5,52;6,37
AR;29;EU;Poste ;20230717##POSTE;0,0678;3,99;4,55;4,9;5,3;5,61;6,31;7,15
AR;30;AM;POST & SERVICE;20230717##POSE;0,063478;2,2;2,51546;2,76082;3,03539;3,25154;3,74226;4,32062
AR;30;CP;POST & SERVICE;20230717##POSE;0,063478;2,5;2,84268;3,10436;3,3972;3,65888;4,15109;4,77414
AR;30;EU;POST & SERVICE;20230717##POSE;0,063478;2,9;3,39105;3,64885;3,93733;4,16445;4,68005;5,28772
AR;30BIS;AM;Poste ;20230717##POSTE;0,09;3,38;3,72;4,05;4,42;4,75;5,37;6,16
AR;30BIS;CP;Poste ;20230717##POSTE;0,09;3,67;4,04;4,41;4,82;5,19;5,88;6,75
AR;30BIS;EU;Poste ;20230717##POSTE;0,09;4,32;4,88;5,24;5,65;5,97;6,7;7,57
RS;UNCOVERED;AM;FSU;20230829##FSU;0,02252;1,88;2,32;2,66;3,05;3,35;4,04;4,85
RS;UNCOVERED;CP;FSU;20230829##FSU;0,02252;2,13;2,58;2,92;3,31;3,65;4,3;5,12
RS;UNCOVERED;EU;FSU;20230829##FSU;0,02252;2,7;3,35;3,7;4,08;4,39;5,07;5,88
AR;UNCOVERED;AM;FSU;20230829##FSU;0,0678;2,95;3,39;3,74;4,12;4,42;5,11;5,92
AR;UNCOVERED;CP;FSU;20230829##FSU;0,0678;3,2;3,65;3,99;4,38;4,72;5,37;6,19
AR;UNCOVERED;EU;FSU;20230829##FSU;0,0678;3,77;4,42;4,77;5,15;5,46;6,14;6,95
890;UNCOVERED;AM;FSU;20230829##FSU;0,19;8,82;9,76;9,76;10,58;10,58;11,65;11,65
890;UNCOVERED;CP;FSU;20230829##FSU;0,19;8,82;9,76;9,76;10,58;10,58;11,65;11,65
890;UNCOVERED;EU;FSU;20230829##FSU;0,19;8,82;9,76;9,76;10,58;10,58;11,65;11,65
RIR;26;ZONE_1;Poste ;20230717##POSTE;0,0678;7,31;9,27;10,13;11,89;13,16;17,34;24,78
RIR;26;ZONE_2;Poste ;20230717##POSTE;0,0678;8,38;10,39;11,33;15,01;16,78;23,53;34,51
RIR;26;ZONE_3;Poste ;20230717##POSTE;0,0678;8,91;11,24;12,59;16,2;21,07;30,9;43,18
RIS;21;ZONE_1;Poste ;20230717##POSTE;0,02252;5,81;7,77;8,63;10,39;11,66;15,83;23,28
RIS;21;ZONE_2;Poste ;20230717##POSTE;0,02252;6,88;8,89;9,83;13,51;15,28;22,03;33,01
RIS;21;ZONE_3;Poste ;20230717##POSTE;0,02252;7,41;9,74;11,09;14,7;19,57;29,39;41,68
